Gene on Watson Strand,Gene on Crick Strand,Base Pairs Apart,Coordinates of Gene on Watson Strand,Coordinates of Gene on Crick Strand,Chromosome
TRP1,YDR008C,-265,461842-462516,462252-462602,chrIV
HED1,YDR015C,-326,477797-478285,477960-478199,chrIV
YDR094W,YDR095C,-59,635840-636175,636117-636527,chrIV
YDR199W,VPS64,-262,854175-854540,854279-856093,chrIV
YDR230W,COX20,-278,926223-926570,926293-926910,chrIV
CCC2,YDR271C,-295,1005675-1008689,1008395-1008766,chrIV
YDR327W,SKP1,-195,1125302-1125628,1125434-1126018,chrIV
TRP4,YDR354C-A,-751,1184747-1185889,1185139-1185282,chrIV
CTS2,YDR371C-A,-1440,1219413-1220948,1219509-1219613,chrIV
YDR396W,NCB2,-430,1266295-1266795,1266366-1266898,chrIV
YDR401W,DIT2,-553,1272223-1272786,1272234-1273703,chrIV
RRP17,YDR413C,-565,1294693-1295400,1294836-1295411,chrIV
SNX41,YDR426C,-313,1320064-1321941,1321629-1322006,chrIV
YDR442W,SSN2,-364,1345647-1346039,1345676-1349938,chrIV
YDR444W,YDR445C,-172,1350290-1352353,1352182-1352589,chrIV
SPP41,YDR464C-A,-688,1388872-1393179,1392492-1392680,chrIV
PKH3,YDR467C,-235,1395121-1397817,1397583-1397909,chrIV
SMT3,YDR510C-A,-11,1469400-1469705,1469695-1469811,chrIV
YRF1-1,YDR545C-A,-849,1526321-1531711,1530863-1531342,chrIV
YEL075W-A,YEL075C,-137,4870-5481,5345-5713,chrV
YEL050W-A,RML2,-71,59549-59740,59670-60851,chrV
MCM3,YEL032C-A,-2813,86937-89852,87040-87201,chrV
YEL010W,YEL009C-A,-259,136279-136629,136371-136778,chrV
YEL008W,YEL008C-A,-167,140512-140892,140726-140818,chrV
HEM14,BUD25,-489,182600-184219,183731-184700,chrV
PRO3,YER023C-A,-415,201076-201936,201522-201734,chrV
FMP49,HVG1,-376,228451-228831,228456-229205,chrV
YER046W-A,SAP1,-220,243700-244029,243810-246503,chrV
RGI1,YER067C-A,-312,292066-292551,292240-292563,chrV
YER084W-A,YER085C,-492,327598-328110,327619-328140,chrV
AIM10,YER087C-A,-490,330576-332306,331817-332368,chrV
YER088W-B,PTC2,-128,335927-336073,335946-337340,chrV
TRP2,YER090C-A,-1151,337949-339472,338322-338411,chrV
YER133W-A,YER134C,-266,437191-437532,437267-437803,chrV
YER148W-A,PEA2,-556,466185-466763,466208-467470,chrV
YER152W-A,PET122,-11,473485-474051,474041-474805,chrV
YER158W-A,BUR6,-173,491487-491702,491530-491958,chrV
YRF1-2,YER190C-A,-1722,571480-576525,574804-575379,chrV
HAC1,YFL031C-A,-134,75179-76147,76014-76115,chrVI
YFL015W-A,YFL015C,-264,106415-106732,106469-106963,chrVI
YFL013W-A,IES1,-751,107799-108602,107852-109930,chrVI
AUA1,WWM1,-167,114990-115274,115108-115743,chrVI
YFR010W-A,MIC19,-171,166728-166916,166746-167258,chrVI
YFR034W-A,YFR035C,-189,226022-226309,226121-226465,chrVI
YFR036W-A,RSC8,-589,227451-228101,227513-229186,chrVI
YGL214W,SKI8,-442,90010-90495,90054-91247,chrVII
HUR1,PMR1,-181,187464-187796,187616-190468,chrVII
CUP2,YGL165C,-409,191129-191806,191398-191976,chrVII
PEX14,YGL152C,-607,216273-217298,216692-217369,chrVII
YGL132W,SNT2,-268,261580-261915,261648-265859,chrVII
RPS2,YGL123C-A,-748,277617-278381,277634-277864,chrVII
YGL109W,YGL108C,-188,303513-303836,303649-304071,chrVII
RPL28,YGL102C,-423,310967-311927,311505-311933,chrVII
HSF1,YGL072C,-252,368753-371254,371003-371362,chrVII
PUS2,YGL063C-A,-265,383654-384766,384502-384651,chrVII
DST1,YGL042C,-125,417483-418412,418288-418593,chrVII
DPC13,YGL041C,-268,418825-419289,419022-419225,chrVII
PUF4,YGL014C-A,-2571,466141-468807,466237-466398,chrVII
YGR017W,YGR018C,-316,523787-524680,524365-524694,chrVII
IMO32,NAG1,-661,546441-547469,546809-547300,chrVII
SMD1,PRP38,-6,635712-636152,636147-636875,chrVII
YGR176W,ATF2,-239,848720-849067,848829-850436,chrVII
TIM13,YGR182C,-54,858287-858604,858551-858904,chrVII
YGR219W,MRPL9,-303,936035-936376,936074-936883,chrVII
AMA1,YGR226C,-228,945145-947019,946792-947001,chrVII
YGR228W,SMI1,-328,949365-949709,949382-950899,chrVII
YTA7,YGR270C-A,-4128,1027370-1031509,1027382-1027600,chrVII
YRF1-3,YGR296C-A,-1722,1084864-1090591,1088870-1089445,chrVII
YHL034W-A,SBP1,-445,33176-33637,33193-34077,chrVIII
YHL019W-A,APM2,-574,67711-68304,67731-69548,chrVIII
ECM12,YHR022C,-106,149225-149680,149575-150345,chrVIII
YHR032W-A,YHR032C-A,-100,175195-175374,175275-175394,chrVIII
YHR052W-A,CUP1-1,-170,212510-212704,212535-212720,chrVIII
YHR054W-A,CUP1-2,-170,214508-214702,214533-214718,chrVIII
YHR063W-A,SSZ1,-253,225442-225777,225525-227141,chrVIII
TRM5,YHR070C-A,-279,234881-236380,236102-236512,chrVIII
ARO9,YHR137C-A,-1513,375709-377250,375738-376388,chrVIII
YHR180W-A,YHR180C-B,-157,466932-467114,466958-467062,chrVIII
YHR219W,YHR219C-A,-849,560173-562047,561199-561681,chrVIII
YIL115W-A,NUP159,-313,144268-144639,144327-148709,chrIX
YIL071W-A,PCI8,-367,228550-229026,228660-229994,chrIX
YIL068W-A,SEC6,-340,233013-233396,233057-235474,chrIX
YIL060W,YIL059C,-277,246392-246826,246550-246915,chrIX
RPB3,YIL021C-A,-663,312905-313861,313199-313468,chrIX
DAL81,YIR023C-A,-307,399777-402689,402383-402706,chrIX
YIR030W-A,DAL7,-268,412899-413282,413015-414679,chrIX
PRP21,YJL202C,-241,53341-54183,53943-54290,chrX
UBP12,YJL197C-A,-1765,63805-67569,65805-66086,chrX
RPL39,BUD19,-273,75933-76474,76202-76510,chrX
YJL169W,SET2,-241,102099-102467,102227-104428,chrX
YJL152W,SNA3,-162,136174-136533,136372-136773,chrX
NET1,APQ13,-355,295245-298814,298460-298876,chrX
YJL067W,MPM1,-321,314084-314434,314114-314872,chrX
YJL032W,BET4,-295,386348-386662,386368-387438,chrX
RNR2,YJL026C-A,-538,392404-393603,393066-393287,chrX
TPH3,YJL015C,-132,405588-407273,407142-407426,chrX
YJL009W,CCT8,-225,419855-420181,419957-421663,chrX
LSM8,YJR023C,-310,469784-470113,469804-470205,chrX
YJR079W,AIM24,-808,580205-581239,580432-581616,chrX
YJR087W,EMC2,-256,586400-586750,586495-587373,chrX
YKL202W,MNN4,-473,63821-64402,63930-67466,chrXI
MRPL38,YKL169C,-366,130634-131050,130685-131068,chrXI
RPS27A,YKL156C-A,-238,158613-159212,158975-159091,chrXI
YKL153W,GPM1,-468,163600-164109,163642-164385,chrXI
YKL136W,APL2,-355,186416-186814,186460-188640,chrXI
ABF1,YKL111C,-302,226570-228765,228464-228799,chrXI
YKL083W,RRP14,-511,280921-281535,281025-282329,chrXI
YKL053W,ASK1,-279,339572-339946,339668-340546,chrXI
AIM26,YKL036C,-194,369365-369721,369528-369920,chrXI
YKL030W,MAE1,-388,382498-383103,382716-384725,chrXI
YKR047W,NAP1,-176,525257-525562,525387-526640,chrXI
GEX2,YLL067C,-662705,661442-663289,585-4301,chrXII
YLL047W,RNP1,-342,46672-47055,46714-47463,chrXII
YLL037W,PRP19,-198,66562-66942,66745-68256,chrXII
RPL22A,BUD28,-372,263194-263948,263577-263954,chrXII
RPL10,YLR076C,-408,282927-283592,283185-283607,chrXII
ERG27,YLR101C,-288,341810-342853,342566-342961,chrXII
YLR120W-A,YPS3,-30,388672-388773,388744-390270,chrXII
YLR169W,APS1,-110,500335-500688,500579-501049,chrXII
NOP56,YLR198C,-326,546097-547611,547286-547645,chrXII
TOP3,YLR235C,-222,609783-611753,611532-611930,chrXII
YLR279W,YLR280C,-216,704309-704698,704483-704833,chrXII
ECM38,YLR299C-A,-141,726069-728051,727911-728003,chrXII
NKP2,TAD3,-4,764808-765269,765266-766358,chrXII
RSC2,YLR358C,-514,841331-844000,843487-844050,chrXII
VPS38,DCR2,-35,846103-847422,847388-849124,chrXII
YLR365W,YLR364C-A,-9,855199-855531,855523-855645,chrXII
YLR400W,DUS3,-95,922063-922536,922442-924448,chrXII
ECM7,YLR444C,-286,1022625-1023971,1023686-1023988,chrXII
YLR462W,YLR463C,-300,1065956-1066564,1066265-1066816,chrXII
YLR464W,BSC3,-457,1066572-1067501,1067045-1067353,chrXII
YRF1-4,YLR466C-A,-849,1067087-1071235,1070387-1070869,chrXII
YRF1-5,YLR467C-A,-849,1072508-1077898,1077050-1077532,chrXII
CAC2,YML101C-A,-292,68294-69700,69409-69726,chrXIII
YML099W-A,ARG81,-161,74229-74558,74398-77040,chrXIII
YML096W,RAD10,-6,79909-81486,81481-82113,chrXIII
YML090W,YML089C,-90,90744-91130,91041-91409,chrXIII
YML084W,YML083C,-4,99489-99797,99794-101050,chrXIII
YML047W-A,PRM6,-242,179893-180258,180017-181075,chrXIII
UBX2,YML012C-A,-367,244149-245903,245537-245914,chrXIII
YML009W-B,YML009C-A,-237,250435-250911,250675-251001,chrXIII
FAR3,YMR052C-A,-132,379586-380200,380069-380434,chrXIII
RCO1,YMR075C-A,-349,413982-416036,415688-416053,chrXIII
SEG1,YMR086C-A,-65,439208-442090,442026-442364,chrXIII
NUP53,YMR153C-A,-289,564435-565862,565574-565909,chrXIII
YMR158W-B,ATG16,-316,574471-574791,574476-574928,chrXIII
HOT1,YMR172C-A,-313,605981-608140,607828-608211,chrXIII
YMR294W-A,YMR295C,-272,858209-858568,858297-858890,chrXIII
FKS3,YMR306C-A,-334,881159-886516,886183-886572,chrXIII
GAS1,YMR307C-A,-952,887003-888682,887731-887925,chrXIII
DIA1,YMR316C-A,-174,904825-905835,905662-905973,chrXIII
YNL319W,HXT14,-376,38642-39082,38707-40329,chrXIV
MET2,YNL276C,-379,117349-118809,118431-118826,chrXIV
YNL266W,IST1,-385,144245-144664,144280-145281,chrXIV
VPS75,CWC25,-4,185460-186349,186346-186885,chrXIV
SIN4,YNL235C,-307,206930-209854,209548-209979,chrXIV
YNL228W,JJJ1,-763,220645-221421,220659-222431,chrXIV
APC1,YNL171C,-254,310636-315882,315629-315997,chrXIV
YNL170W,PSD1,-205,315978-316373,316169-317671,chrXIV
YNL150W,PGA2,-292,349251-349658,349367-349756,chrXIV
YNL109W,YNL108C,-496,418964-419509,419014-419826,chrXIV
RHO2,YNL089C,-451,456565-457143,456693-457169,chrXIV
YIP3,YNL043C,-289,545268-545877,545589-545909,chrXIV
HEF3,YNL013C,-321,606319-609453,609133-609510,chrXIV
MPP6,YNR025C,-268,672409-672969,672702-673061,chrXIV
GRE2,YOL150C,-250,43694-44722,44473-44784,chrXV
PKH2,YOL099C,-466,129237-132482,132017-132508,chrXV
YOL085W-A,YOL085C,-119,161579-161791,161673-162014,chrXV
ATG34,YOL083C-A,-492,165714-166952,166461-166601,chrXV
GAL11,YOL050C,-304,234940-238185,237882-238202,chrXV
YOL036W,YOL035C,-228,256745-259030,258803-259105,chrXV
YOR053W,VHS3,-326,427817-428158,427833-429857,chrXV
VPS5,VAM10,-1927,453768-455795,453869-454213,chrXV
YOR102W,OST2,-325,516423-516773,516449-516841,chrXV
LEU9,YOR108C-A,-237,523027-524841,524605-524814,chrXV
GCY1,YOR121C,-255,551114-552052,551798-552103,chrXV
GLN4,YOR169C,-357,649303-651732,651376-651840,chrXV
YOR170W,LCB4,-154,651858-652163,652010-653884,chrXV
YOR186W,YOR186C-A,-217,683111-683545,683329-683538,chrXV
YOR200W,MRM1,-346,720417-720815,720470-721708,chrXV
RFC1,YOR218C,-411,749301-751886,751476-751895,chrXV
YOR225W,ISU2,-108,761392-761721,761614-762084,chrXV
MKK1,YOR231C-A,-965,772601-774127,773163-773363,chrXV
CAF20,YOR277C,-304,841333-841818,841515-841823,chrXV
YOR364W,YOR365C,-279,1023371-1023739,1023461-1025572,chrXV
AMF1,YOR379C,-333,1049511-1051058,1050726-1051064,chrXV
YRF1-8,YOR396C-A,-849,1085473-1090863,1090015-1090497,chrXV
FMP40,YPL222C-A,-359,130162-132228,131870-132115,chrXVI
RPL7B,YPL197C,-360,173152-174702,174343-174756,chrXVI
ATG29,SET6,-24,237338-237979,237956-239077,chrXVI
RPL33A,YPL142C,-285,282122-282970,282686-283003,chrXVI
ISU1,YPL135C-A,-373,297553-298050,297678-297851,chrXVI
YPL114W,YPL113C,-415,335948-336367,335953-337143,chrXVI
CTF19,IRC15,-27,517651-518760,518734-520233,chrXVI
RPL43A,OPI11,-324,654166-654847,654524-654877,chrXVI
YMC1,YPR059C,-361,673751-674674,674314-674700,chrXVI
VPS69,SRP54,-272,711354-711674,711403-713028,chrXVI
YLH47,YPR126C,-249,787961-789325,789077-789385,chrXVI
SCD6,YPR130C,-363,792687-793736,793374-793781,chrXVI
YPR150W,SUE1,-466,830999-831520,831055-831675,chrXVI
YPR204W,YPR204C-A,-846,944603-947701,946856-947338,chrXVI
